                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    175,                 1.1593,                 2.1052,                 1.1767,                0.94553,                    0.5,                0.53667,                0.15853,                      0,                    inf,                      0,               0.001387,               0.001387,               0.001387
                    176,                0.88785,                 1.7461,                 1.3257,                0.94553,                    0.5,                0.53667,                0.15853,                      0,                    inf,                      0,              0.0013375,              0.0013375,              0.0013375
                    177,                0.89164,                 1.3342,                 1.2299,                0.94553,                    0.5,                0.53667,                0.15853,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                    178,                  1.104,                 2.3636,                 1.1474,                0.94553,                    0.5,                0.53667,                0.15853,                      0,                    inf,                      0,              0.0012385,              0.0012385,              0.0012385
                    179,                 1.1617,                 1.4409,                 1.1459,                0.95106,                    0.5,                  0.535,                 0.1567,                      0,                    inf,                      0,               0.001189,               0.001189,               0.001189
                    180,                 1.0335,                 1.5538,                 1.0062,                0.95106,                    0.5,                  0.535,                 0.1567,                      0,                    inf,                      0,              0.0011395,              0.0011395,              0.0011395
                    181,                 1.3751,                 2.3796,                 1.2192,                0.95106,                    0.5,                  0.535,                 0.1567,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                    182,                0.96776,                 1.6012,                 1.0217,                0.95106,                    0.5,                  0.535,                 0.1567,                      0,                    inf,                      0,              0.0010405,              0.0010405,              0.0010405
                    183,                 1.0307,                  2.563,                 1.0843,                0.95368,                    0.5,                0.53667,                0.18228,                      0,                    inf,                      0,               0.000991,               0.000991,               0.000991
                    184,                0.98441,                 1.3992,                 1.0745,                0.95368,                    0.5,                0.53667,                0.18228,                      0,                    inf,                      0,              0.0009415,              0.0009415,              0.0009415
                    185,                 1.0946,                 1.4653,                  1.185,                0.95368,                    0.5,                0.53667,                0.18228,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                    186,                0.97994,                 1.2735,                 1.1407,                0.95368,                    0.5,                0.53667,                0.18228,                      0,                    inf,                      0,              0.0008425,              0.0008425,              0.0008425
                    187,                 1.0473,                 1.8603,                 1.3578,                0.95405,                    0.5,                0.54763,                0.18477,                      0,                    inf,                      0,               0.000793,               0.000793,               0.000793
                    188,                0.84037,                 1.6086,                 1.1793,                0.95405,                    0.5,                0.54763,                0.18477,                      0,                    inf,                      0,              0.0007435,              0.0007435,              0.0007435
                    189,                 1.1062,                 1.5649,                 1.1926,                0.95405,                    0.5,                0.54763,                0.18477,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                    190,                 1.0855,                 2.3071,                 1.1002,                0.95405,                    0.5,                0.54763,                0.18477,                      0,                    inf,                      0,              0.0006445,              0.0006445,              0.0006445
                    191,                0.92174,                  3.029,                 1.2337,                0.95642,                    0.5,                0.55382,                0.21047,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                    192,                0.86201,                 2.1393,                  1.259,                0.95642,                    0.5,                0.55382,                0.21047,                      0,                    inf,                      0,              0.0005455,              0.0005455,              0.0005455
                    193,                0.88571,                 1.7045,                 1.1671,                0.95642,                    0.5,                0.55382,                0.21047,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                    194,                 1.0779,                 2.2643,                 1.3739,                0.95642,                    0.5,                0.55382,                0.21047,                      0,                    inf,                      0,              0.0004465,              0.0004465,              0.0004465
                    195,                 1.4328,                 2.4213,                 1.3301,                0.95634,                    0.5,                  0.595,                0.21378,                      0,                    inf,                      0,               0.000397,               0.000397,               0.000397
                    196,                0.82196,                 1.5549,                 1.2254,                0.95634,                    0.5,                  0.595,                0.21378,                      0,                    inf,                      0,              0.0003475,              0.0003475,              0.0003475
                    197,                0.80993,                 1.9557,                 1.1474,                0.95634,                    0.5,                  0.595,                0.21378,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
                    198,                 1.1032,                  2.903,                 1.3038,                0.95634,                    0.5,                  0.595,                0.21378,                      0,                    inf,                      0,              0.0002485,              0.0002485,              0.0002485
                    199,                 1.0925,                 1.9028,                 1.2544,                0.95767,                    0.5,                0.58591,                0.16357,                      0,                    inf,                      0,               0.000199,               0.000199,               0.000199
